babue_id|Karton|Name|Wikidata ID
8-024|Karton 8|Trego, William B. T. (1858-1909)|Q8004867
8-025|Karton 8|Tromp, Jan Zoetelief (1872-1947)|Q18516654
8-026|Karton 8|Trouillebert, Paul Désiré (1831-1900)|Q709290
8-027|Karton 8|Troyon, Constantin (1810-1865)|Q219403
8-028|Karton 8|Trübner, Wilhelm (1851-1917)|Q461271
8-029|Karton 8|Uhde, Fritz von (1848-1911)|Q210201
8-030|Karton 8|Unterberger, Franz Richard (1938-1902)|Q969387
8-031|Karton 8|Ury, Lesser (1861-1931)|Q512596
8-032|Karton 8|Utrillo, Maurice (1883-1955)|Q108301
8-033|Karton 8|Vadder, Lodewijk de (1605-1655)|Q1374732
8-034|Karton 8|Valenciennes, Pierre-Henri de (1750-1819)|Q334946
8-035|Karton 8|Vallée, Étienne-Maxime (1853-1881)|Q16741548
8-036|Karton 8|Valtat, Louis (1869-1952)|Q1872017
8-037|Karton 8|Vayson, Paul (1841-1911)|Q3372350
8-038|Karton 8|Velten, Wilhelm (1847-1929)|Q20891029
8-039|Karton 8|Verboeckhoven, Eugène (1799-1881)|Q1353771
8-040|Karton 8|Vermeer van Haarlem, Jan (1628-1691)|Q3159680
8-041|Karton 8|Vernet, Horace (1789-1863)|Q161145
8-042|Karton 8|Veron, Alexandre René (1826-1897)|Q21454856
8-043|Karton 8|Verschuur, Wouterus (1812-1874)|Q2341947
8-044|Karton 8|Vertin, Petrus Gerardus (1819-1893)|Q18516773
8-045|Karton 8|Věšín, Jaroslav (1860-1915)|Q2635824
8-046|Karton 8|Veyrassat, Jules Jacques (1828-1893)|Q3188680
8-047|Karton 8|Vibert, Jean Georges (1840-1902)|Q1280412
8-048|Karton 8|Villéon, Emmanuel de la (1858-1944)|Q3052902
8-049|Karton 8|Vlaminck, Maurice de (1876-1958)|Q241098
8-050|Karton 8|Vollerdt, Johann Christian (1708-1769)|Q3808839
8-051|Karton 8|Vollmar, Ludwig (1842-1884)|Q18508492
8-052|Karton 8|Vollon, Antoine (1833-1900)|Q587078
8-053|Karton 8|Voltz, Friedrich (1817-1886)|Q215515
8-054|Karton 8|Voltz, Ludwig Gustav (1825-1911)|Q23692162
8-055|Karton 8|Vuillard, Édouard (1868-1940)|Q239394
8-056|Karton 8|Waagen, Adalbert (1833-1898)|Q19257696
8-057|Karton 8|Wagenbauer, Max Joseph (1774-1829)|Q1912779
8-058|Karton 8|Wagner, Alexander von (1838-1919)|Q680053
8-059|Karton 8|Wagner, Otto (1803-1861)|Q19961653
8-060|Karton 8|Wagner, Sándor Alexander von (1838-1919)|Q680053
8-061|Karton 8|Waldmüller, Ferdinand Georg (1793-1865)|Q186816
8-062|Karton 8|Weber, Paul (1823-1916)|Q1280976
8-063|Karton 8|Weller, Theodor Leopold (1802-1880)|Q2417956
8-064|Karton 8|Wenglein, Joseph (1845-1919)|Q1708226
9-001|Karton 9|Wierusz-Kowalski, Alfred (1849-1915), Alias Kamiński, J.|Q358110
9-002|Karton 9|Wieschebrink, Franz (1818-1884)|Q22668516
9-003|Karton 9|Wijngaerdt, Anthonie Jacobus van (1808-1887)|Q2781041
9-004|Karton 9|Willroider, Josef (1838-1915)|Q1706051
9-005|Karton 9|Willroider, Ludwig (1845-1910)|Q89623
9-006|Karton 9|Windmaier, Anton (1840-1896)|Q18511834
9-007|Karton 9|Wolf, Georg (1882-1962)|Q111178871
9-008|Karton 9|Wolski, Stanislaw Pomian (1859-1894)|Q21457634
9-009|Karton 9|Wopfner, Josef (1843-1927)|Q16319565
9-010|Karton 9|Wuttke, Carl (1849-1927)|Q1041208
9-011|Karton 9|Wyant, Alexander Helwig (1836-1892)|Q2833132
9-012|Karton 9|Wywiórski, Michał Gorstkin (1861-1926)|Q4145937
9-013|Karton 9|Yon, Edmond (1841-1897)|Q3048019
9-014|Karton 9|Zadkine, Ossip (1890-1967)|Q160172
9-015|Karton 9|Ziem, Félix (1821-1911)|Q466224
9-016|Karton 9|Zilcken, Philip (1857-1930)|Q14087684
9-017|Karton 9|Zimmermann, Albert (1808-1888)|Q872079
9-018|Karton 9|Zimmermann, Ernst (1852-1901)|Q1360732
9-019|Karton 9|Zügel, Heinrich von (1850-1941)|Q602549
9-020|Karton 9|Zumbusch, Ludwig von (1861-1927)|Q1119459
9-021|Karton 9|D., J. (Monogrammist)|
9-022|Karton 9|Leonhard, I.|
9-023|Karton 9|Sammlung Fächer|
